




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-10-08
Analyzed List:	GCST008114reported.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20996)	GCST008114reported.txt (2)	GCST008114reported.txt (expected)	GCST008114reported.txt (over/under)	GCST008114reported.txt (fold Enrichment)	GCST008114reported.txt (raw P-value)	GCST008114reported.txt (FDR)
fructoselysine metabolic process (GO:0030393)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation by virus of viral protein levels in host cell (GO:0046719)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of Schwann cell chemotaxis (GO:1904268)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
viral entry into host cell (GO:0046718)	94	0	.01	-	 < 0.01	1.00E00	1.00E00
acid secretion (GO:0046717)	83	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of Schwann cell chemotaxis (GO:1904266)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
muscle cell cellular homeostasis (GO:0046716)	21	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of TORC1 signaling (GO:1904263)	15	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of TORC1 signaling (GO:1904262)	19	0	.00	-	 < 0.01	1.00E00	1.00E00
borate transport (GO:0046713)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GDP catabolic process (GO:0046712)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of basement membrane assembly involved in embryonic body morphogenesis (GO:1904261)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
programmed cell death in response to reactive oxygen species (GO:0097468)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
GDP biosynthetic process (GO:0046711)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GDP metabolic process (GO:0046710)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
vitamin D metabolic process (GO:0042359)	15	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquitin-dependent glycoprotein ERAD pathway (GO:0097466)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
thiamine diphosphate metabolic process (GO:0042357)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
L-fucose catabolic process (GO:0042355)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
L-fucose metabolic process (GO:0042354)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
GDP-L-fucose salvage (GO:0042352)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
'de novo' GDP-L-fucose biosynthetic process (GO:0042351)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
GDP-L-fucose biosynthetic process (GO:0042350)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
fructosamine metabolic process (GO:0030389)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
fructose 1,6-bisphosphate metabolic process (GO:0030388)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
sperm mitochondrion organization (GO:0030382)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of basement membrane assembly involved in embryonic body morphogenesis (GO:1904259)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
IDP catabolic process (GO:0046709)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
IDP metabolic process (GO:0046707)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of iron ion transmembrane transporter activity (GO:1904255)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of iron ion transmembrane transporter activity (GO:1904254)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of bile acid metabolic process (GO:1904253)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of bile acid metabolic process (GO:1904252)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of bile acid metabolic process (GO:1904251)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
heterocycle catabolic process (GO:0046700)	424	0	.04	-	 < 0.01	1.00E00	1.00E00
keratan sulfate catabolic process (GO:0042340)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of peptidyl-threonine phosphorylation (GO:0010799)	46	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of multivesicular body size involved in endosome transport (GO:0010797)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of polynucleotide adenylyltransferase activity (GO:1904247)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of polynucleotide adenylyltransferase activity (GO:1904246)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of multivesicular body size (GO:0010796)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of polynucleotide adenylyltransferase activity (GO:1904245)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of ubiquinone biosynthetic process (GO:0010795)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of mRNA export from nucleus (GO:0010793)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
monoterpenoid metabolic process (GO:0016098)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA double-strand break processing involved in repair via single-strand annealing (GO:0010792)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of VCP-NPL4-UFD1 AAA ATPase complex assembly (GO:1904240)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
keratan sulfate metabolic process (GO:0042339)	34	0	.00	-	 < 0.01	1.00E00	1.00E00
polyprenol catabolic process (GO:0016095)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
polyprenol biosynthetic process (GO:0016094)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3-K79 methylation (GO:0034729)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleosome organization (GO:0034728)	157	0	.01	-	 < 0.01	1.00E00	1.00E00
polyprenol metabolic process (GO:0016093)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
piecemeal microautophagy of the nucleus (GO:0034727)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cuticle development (GO:0042335)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA replication-independent nucleosome organization (GO:0034724)	41	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA replication-dependent nucleosome organization (GO:0034723)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
taxis (GO:0042330)	558	0	.05	-	 < 0.01	1.00E00	1.00E00
histone H3-K4 demethylation, trimethyl-H3-K4-specific (GO:0034721)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3-K4 demethylation (GO:0034720)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
meiotic sister chromatid cohesion involved in meiosis I (GO:0010789)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of VCP-NPL4-UFD1 AAA ATPase complex assembly (GO:1904239)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pericyte cell differentiation (GO:1904238)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of substrate-dependent cell migration, cell attachment to substrate (GO:1904237)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of substrate-dependent cell migration, cell attachment to substrate (GO:1904235)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of aconitate hydratase activity (GO:1904234)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of aconitate hydratase activity (GO:1904232)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of succinate dehydrogenase activity (GO:1904231)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
meiotic DNA double-strand break formation involved in reciprocal meiotic recombination (GO:0010780)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
supramolecular fiber organization (GO:0097435)	453	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of phosphorylation (GO:0042327)	1066	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of phosphorylation (GO:0042326)	442	0	.04	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle priming (GO:0016082)	15	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of phosphorylation (GO:0042325)	1600	0	.15	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle docking (GO:0016081)	11	0	.00	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle targeting (GO:0016080)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of circadian sleep/wake cycle, non-REM sleep (GO:0042323)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of circadian sleep/wake cycle, REM sleep (GO:0042322)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of circadian sleep/wake cycle, sleep (GO:0042321)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of circadian sleep/wake cycle, REM sleep (GO:0042320)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of succinate dehydrogenase activity (GO:1904229)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of glycogen synthase activity, transferring glucose-1-phosphate (GO:1904227)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of glycogen synthase activity, transferring glucose-1-phosphate (GO:1904226)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of glucuronosyltransferase activity (GO:1904224)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle exocytosis (GO:0016079)	62	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of glucuronosyltransferase activity (GO:1904223)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA catabolic process (GO:0016078)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of serine C-palmitoyltransferase activity (GO:1904222)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell morphogenesis involved in differentiation (GO:0010771)	98	0	.01	-	 < 0.01	1.00E00	1.00E00
snoRNA catabolic process (GO:0016077)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein maturation by iron-sulfur cluster transfer (GO:0097428)	14	0	.00	-	 < 0.01	1.00E00	1.00E00
snRNA catabolic process (GO:0016076)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell morphogenesis involved in differentiation (GO:0010770)	159	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of serine C-palmitoyltransferase activity (GO:1904220)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
rRNA catabolic process (GO:0016075)	19	0	.00	-	 < 0.01	1.00E00	1.00E00
snoRNA metabolic process (GO:0016074)	16	0	.00	-	 < 0.01	1.00E00	1.00E00
snRNA metabolic process (GO:0016073)	45	0	.00	-	 < 0.01	1.00E00	1.00E00
rRNA metabolic process (GO:0016072)	221	0	.02	-	 < 0.01	1.00E00	1.00E00
penicillin metabolic process (GO:0042316)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mRNA metabolic process (GO:0016071)	693	0	.07	-	 < 0.01	1.00E00	1.00E00
RNA metabolic process (GO:0016070)	1685	0	.16	-	 < 0.01	1.00E00	1.00E00
liver regeneration (GO:0097421)	29	0	.00	-	 < 0.01	1.00E00	1.00E00
protein kinase C deactivation (GO:0042313)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
vasodilation (GO:0042311)	31	0	.00	-	 < 0.01	1.00E00	1.00E00
vasoconstriction (GO:0042310)	32	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cell morphogenesis involved in differentiation (GO:0010769)	308	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of CDP-diacylglycerol-serine O-phosphatidyltransferase activity (GO:1904219)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage (GO:0010768)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of CDP-diacylglycerol-serine O-phosphatidyltransferase activity (GO:1904217)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage (GO:0010767)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of sodium ion transport (GO:0010766)	19	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of sodium ion transport (GO:0010765)	34	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of fibroblast migration (GO:0010764)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of fibroblast migration (GO:0010763)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of iodide transmembrane transport (GO:1904213)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of fibroblast migration (GO:0010762)	31	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of iodide transmembrane transport (GO:1904212)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
fibroblast migration (GO:0010761)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
membrane protein proteolysis involved in retrograde protein transport, ER to cytosol (GO:1904211)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of macrophage chemotaxis (GO:0010760)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
homoiothermy (GO:0042309)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein import into nucleus (GO:0042308)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
immunoglobulin mediated immune response (GO:0016064)	205	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein import into nucleus (GO:0042307)	40	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of protein import into nucleus (GO:0042306)	59	0	.01	-	 < 0.01	1.00E00	1.00E00
adaptation of rhodopsin mediated signaling (GO:0016062)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of fatty acid biosynthetic process (GO:0042304)	46	0	.00	-	 < 0.01	1.00E00	1.00E00
molting cycle (GO:0042303)	90	0	.01	-	 < 0.01	1.00E00	1.00E00
hypoxia-inducible factor-1alpha signaling pathway (GO:0097411)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell migration (GO:0030336)	260	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell migration (GO:0030335)	511	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of cell migration (GO:0030334)	861	0	.08	-	 < 0.01	1.00E00	1.00E00
DNA damage response, signal transduction by p53 class mediator (GO:0030330)	80	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of macrophage chemotaxis (GO:0010759)	15	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of chemokine (C-C motif) ligand 2 secretion (GO:1904209)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of macrophage chemotaxis (GO:0010758)	27	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of plasminogen activation (GO:0010757)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of chemokine (C-C motif) ligand 2 secretion (GO:1904207)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of plasminogen activation (GO:0010756)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of skeletal muscle hypertrophy (GO:1904206)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of plasminogen activation (GO:0010755)	15	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of skeletal muscle hypertrophy (GO:1904205)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of cGMP-mediated signaling (GO:0010754)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of skeletal muscle hypertrophy (GO:1904204)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cGMP-mediated signaling (GO:0010753)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cGMP-mediated signaling (GO:0010752)	14	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of iodide transport (GO:1904202)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of nitric oxide mediated signal transduction (GO:0010751)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of iodide transport (GO:1904201)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
rhodopsin mediated signaling pathway (GO:0016056)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of nitric oxide mediated signal transduction (GO:0010750)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
organic acid catabolic process (GO:0016054)	261	0	.02	-	 < 0.01	1.00E00	1.00E00
organic acid biosynthetic process (GO:0016053)	301	0	.03	-	 < 0.01	1.00E00	1.00E00
carbohydrate catabolic process (GO:0016052)	120	0	.01	-	 < 0.01	1.00E00	1.00E00
carbohydrate biosynthetic process (GO:0016051)	139	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to raffinose (GO:0097403)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
vesicle organization (GO:0016050)	304	0	.03	-	 < 0.01	1.00E00	1.00E00
neuroblast migration (GO:0097402)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle lumen acidification (GO:0097401)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-17-mediated signaling pathway (GO:0097400)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
prenylcysteine metabolic process (GO:0030329)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
prenylcysteine catabolic process (GO:0030328)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
prenylated protein catabolic process (GO:0030327)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
embryonic limb morphogenesis (GO:0030326)	127	0	.01	-	 < 0.01	1.00E00	1.00E00
adrenal gland development (GO:0030325)	24	0	.00	-	 < 0.01	1.00E00	1.00E00
lung development (GO:0030324)	172	0	.02	-	 < 0.01	1.00E00	1.00E00
respiratory tube development (GO:0030323)	176	0	.02	-	 < 0.01	1.00E00	1.00E00
stabilization of membrane potential (GO:0030322)	17	0	.00	-	 < 0.01	1.00E00	1.00E00
transepithelial chloride transport (GO:0030321)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular monovalent inorganic anion homeostasis (GO:0030320)	14	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of nitric oxide mediated signal transduction (GO:0010749)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of long-chain fatty acid import across plasma membrane (GO:0010748)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of long-chain fatty acid import across plasma membrane (GO:0010746)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of macrophage derived foam cell differentiation (GO:0010745)	13	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of macrophage derived foam cell differentiation (GO:0010744)	16	0	.00	-	 < 0.01	1.00E00	1.00E00
cell growth (GO:0016049)	91	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of macrophage derived foam cell differentiation (GO:0010743)	29	0	.00	-	 < 0.01	1.00E00	1.00E00
detection of temperature stimulus (GO:0016048)	22	0	.00	-	 < 0.01	1.00E00	1.00E00
macrophage derived foam cell differentiation (GO:0010742)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
detection of fungus (GO:0016046)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
detection of bacterium (GO:0016045)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
lipid catabolic process (GO:0016042)	294	0	.03	-	 < 0.01	1.00E00	1.00E00
melanocyte differentiation (GO:0030318)	22	0	.00	-	 < 0.01	1.00E00	1.00E00
flagellated sperm motility (GO:0030317)	73	0	.01	-	 < 0.01	1.00E00	1.00E00
osteoclast differentiation (GO:0030316)	45	0	.00	-	 < 0.01	1.00E00	1.00E00
poly-N-acetyllactosamine biosynthetic process (GO:0030311)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein kinase A signaling (GO:0010739)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of protein kinase A signaling (GO:0010738)	22	0	.00	-	 < 0.01	1.00E00	1.00E00
protein kinase A signaling (GO:0010737)	15	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription via serum response element binding (GO:0010735)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein glutathionylation (GO:0010734)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of protein glutathionylation (GO:0010732)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
absorption of visible light (GO:0016038)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
light absorption (GO:0016037)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to phosphate starvation (GO:0016036)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of hydrogen peroxide biosynthetic process (GO:0010730)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
memory T cell proliferation (GO:0061485)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hematopoietic stem cell homeostasis (GO:0061484)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
viral process (GO:0016032)	702	0	.07	-	 < 0.01	1.00E00	1.00E00
tRNA import into mitochondrion (GO:0016031)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
response to TNF agonist (GO:0061481)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
poly-N-acetyllactosamine metabolic process (GO:0030309)	11	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell growth (GO:0030308)	184	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell growth (GO:0030307)	169	0	.02	-	 < 0.01	1.00E00	1.00E00
deoxynucleotide transport (GO:0030302)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cholesterol transport (GO:0030301)	56	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of intestinal cholesterol absorption (GO:0030300)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of hydrogen peroxide biosynthetic process (GO:0010729)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of hydrogen peroxide biosynthetic process (GO:0010728)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of hydrogen peroxide metabolic process (GO:0010727)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of hydrogen peroxide metabolic process (GO:0010726)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of primitive erythrocyte differentiation (GO:0010725)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of definitive erythrocyte differentiation (GO:0010724)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of ferrochelatase activity (GO:0010722)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
response to platelet aggregation inhibitor (GO:0061478)	14	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell development (GO:0010721)	332	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell development (GO:0010720)	557	0	.05	-	 < 0.01	1.00E00	1.00E00
response to anticoagulant (GO:0061476)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
CDP-diacylglycerol biosynthetic process (GO:0016024)	13	0	.00	-	 < 0.01	1.00E00	1.00E00
T follicular helper cell differentiation (GO:0061470)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of epithelial to mesenchymal transition (GO:0010719)	28	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of extracellular matrix disassembly (GO:0010716)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of extracellular matrix disassembly (GO:0010715)	16	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of collagen metabolic process (GO:0010714)	27	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of collagen metabolic process (GO:0010713)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of type B pancreatic cell proliferation (GO:0061469)	14	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of collagen metabolic process (GO:0010712)	42	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903799)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of collagen catabolic process (GO:0010711)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903798)	19	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of collagen catabolic process (GO:0010710)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
gonad development (GO:0008406)	212	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of inorganic anion transmembrane transport (GO:1903797)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of inorganic anion transmembrane transport (GO:1903796)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of inorganic anion transmembrane transport (GO:1903795)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
protein localization to lysosome (GO:0061462)	37	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of anion transport (GO:1903793)	51	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of anion transport (GO:1903792)	30	0	.00	-	 < 0.01	1.00E00	1.00E00
guanine nucleotide transmembrane transport (GO:1903790)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycolysis from storage polysaccharide through glucose-1-phosphate (GO:0093001)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ganglioside biosynthetic process via lactosylceramide (GO:0010706)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
meiotic DNA double-strand break processing involved in reciprocal meiotic recombination (GO:0010705)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
reproductive system development (GO:0061458)	431	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of norepinephrine secretion (GO:0010701)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of amino acid transmembrane transport (GO:1903789)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of norepinephrine secretion (GO:0010700)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of glutathione biosynthetic process (GO:1903788)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of glutathione biosynthetic process (GO:1903786)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
retrotrapezoid nucleus neuron differentiation (GO:0061452)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
retrotrapezoid nucleus development (GO:0061451)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cardiac conduction (GO:1903781)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
suppression by virus of host STAT2 activity (GO:0039564)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
suppression by virus of host STAT1 activity (GO:0039563)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
suppression by virus of host STAT activity (GO:0039562)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
charged-tRNA amino acid modification (GO:0019988)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
connective tissue development (GO:0061448)	227	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac conduction (GO:1903779)	68	0	.01	-	 < 0.01	1.00E00	1.00E00
translesion synthesis (GO:0019985)	41	0	.00	-	 < 0.01	1.00E00	1.00E00
protein localization to vacuolar membrane (GO:1903778)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
endocardial cushion cell fate commitment (GO:0061445)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of DNA double-strand break processing (GO:1903775)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
endocardial cushion cell development (GO:0061444)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of viral budding via host ESCRT complex (GO:1903774)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
endocardial cushion cell differentiation (GO:0061443)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of viral budding via host ESCRT complex (GO:1903772)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
renal artery morphogenesis (GO:0061441)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
kidney vasculature development (GO:0061440)	21	0	.00	-	 < 0.01	1.00E00	1.00E00
