




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-10-08
Analyzed List:	GCST005047mapped.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20996)	GCST005047mapped.txt (33)	GCST005047mapped.txt (expected)	GCST005047mapped.txt (over/under)	GCST005047mapped.txt (fold Enrichment)	GCST005047mapped.txt (raw P-value)	GCST005047mapped.txt (FDR)
pyrimidine nucleotide transmembrane transporter activity (GO:0015218)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ADP transmembrane transporter activity (GO:0015217)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
purine nucleotide transmembrane transporter activity (GO:0015216)	16	0	.03	-	 < 0.01	1.00E00	1.00E00
nucleotide transmembrane transporter activity (GO:0015215)	20	0	.03	-	 < 0.01	1.00E00	1.00E00
purine nucleoside transmembrane transporter activity (GO:0015211)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sodium:phosphate symporter activity (GO:0005436)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
calcium:sodium antiporter activity (GO:0005432)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
organic hydroxy compound transmembrane transporter activity (GO:1901618)	50	0	.08	-	 < 0.01	1.00E00	1.00E00
adenine transmembrane transporter activity (GO:0015207)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleobase transmembrane transporter activity (GO:0015205)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
cardiolipin binding (GO:1901612)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
urea transmembrane transporter activity (GO:0015204)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylglycerol binding (GO:1901611)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
polyamine transmembrane transporter activity (GO:0015203)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
proton-dependent oligopeptide secondary active transmembrane transporter activity (GO:0005427)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
4-aminobutyrate:2-oxoglutarate transaminase activity (GO:0034386)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphothreonine residue binding (GO:0050816)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoserine residue binding (GO:0050815)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
GABA receptor binding (GO:0050811)	18	0	.03	-	 < 0.01	1.00E00	1.00E00
regulatory region RNA binding (GO:0001069)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
myo-inositol-1,2,3,4,6-heptakisphosphate 5-kinase activity (GO:0102732)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquitin-protein transferase activator activity (GO:0097027)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
SMAD binding (GO:0046332)	76	0	.12	-	 < 0.01	1.00E00	1.00E00
DNA-3'-diphospho-5'-guanosine diphosphatase (GO:0120108)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
COPII adaptor activity (GO:0097020)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
amino acid:cation symporter activity (GO:0005416)	19	0	.03	-	 < 0.01	1.00E00	1.00E00
nucleoside:sodium symporter activity (GO:0005415)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
glucose:sodium symporter activity (GO:0005412)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III activity (GO:0001056)	16	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II activity (GO:0001055)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I activity (GO:0001054)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
acrosin binding (GO:0032190)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
L27 domain binding (GO:0097016)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
alpha-sialidase activity (GO:0016997)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
lipoate synthase activity (GO:0016992)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
arginine deiminase activity (GO:0016990)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
carbohydrate:cation symporter activity (GO:0005402)	19	0	.03	-	 < 0.01	1.00E00	1.00E00
SUMO polymer binding (GO:0032184)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
core promoter binding (GO:0001047)	57	0	.09	-	 < 0.01	1.00E00	1.00E00
SUMO binding (GO:0032183)	16	0	.03	-	 < 0.01	1.00E00	1.00E00
core promoter sequence-specific DNA binding (GO:0001046)	46	0	.07	-	 < 0.01	1.00E00	1.00E00
ubiquitin-like protein binding (GO:0032182)	98	0	.15	-	 < 0.01	1.00E00	1.00E00
dinucleotide repeat insertion binding (GO:0032181)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
gluconokinase activity (GO:0046316)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I core binding (GO:0001042)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
adipokinetic hormone receptor activity (GO:0097003)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ceramide binding (GO:0097001)	14	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA pyrophosphohydrolase activity (GO:0034353)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
S-adenosyl-L-methionine:beta-alanine N-methyltransferase activity (GO:0102707)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GDP-Man:Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase activity (GO:0102704)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III type 3 promoter DNA binding (GO:0001032)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III type 2 promoter DNA binding (GO:0001031)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III type 1 promoter DNA binding (GO:0001030)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
thiol oxidase activity (GO:0016972)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
flavin-linked sulfhydryl oxidase activity (GO:0016971)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
protein deglycase activity (GO:0036524)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III general transcription initiation factor binding (GO:0001025)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-2 macroglobulin receptor activity (GO:0016964)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
short-chain carboxylesterase activity (GO:0034338)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial promoter sequence-specific DNA binding (GO:0001018)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III regulatory region DNA binding (GO:0001016)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I regulatory region DNA binding (GO:0001013)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II sequence-specific DNA-binding transcription factor recruiting activity (GO:0001010)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-xylulose reductase (NAD+) activity (GO:0044105)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mechanosensitived potassium channel activity (GO:0098782)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
prosaposin receptor activity (GO:0036505)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
vasoactive intestinal polypeptide receptor activity (GO:0004999)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
transferrin receptor activity (GO:0004998)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
thyrotropin-releasing hormone receptor activity (GO:0004997)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
thyroid-stimulating hormone receptor activity (GO:0004996)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
tachykinin receptor activity (GO:0004995)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
somatostatin receptor activity (GO:0004994)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
G protein-coupled serotonin receptor activity (GO:0004993)	34	0	.05	-	 < 0.01	1.00E00	1.00E00
succinate-semialdehyde dehydrogenase binding (GO:0032145)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
platelet activating factor receptor activity (GO:0004992)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III type 3 promoter sequence-specific DNA binding (GO:0001006)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
parathyroid hormone receptor activity (GO:0004991)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
single thymine insertion binding (GO:0032143)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
oxytocin receptor activity (GO:0004990)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
single guanine insertion binding (GO:0032142)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III transcription regulator recruiting activity (GO:0001004)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III type 2 promoter sequence-specific DNA binding (GO:0001003)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III type 1 promoter sequence-specific DNA binding (GO:0001002)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
natriuretic peptide receptor activity (GO:0016941)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
FBXO family protein binding (GO:0098770)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
dinucleotide insertion or deletion binding (GO:0032139)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
single base insertion or deletion binding (GO:0032138)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
opioid receptor activity (GO:0004985)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
guanine/thymine mispair binding (GO:0032137)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
olfactory receptor activity (GO:0004984)	433	0	.68	-	 < 0.01	1.00E00	1.00E00
neuropeptide Y receptor activity (GO:0004983)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA insertion or deletion binding (GO:0032135)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
N-formyl peptide receptor activity (GO:0004982)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
melanocyte-stimulating hormone receptor activity (GO:0004980)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
3' overhang single-stranded DNA endodeoxyribonuclease activity (GO:1990599)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
galactoside binding (GO:0016936)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
mast cell secretagogue receptor activity (GO:1990595)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
extracellularly glycine-gated chloride channel activity (GO:0016934)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
extracellularly glycine-gated ion channel activity (GO:0016933)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
BAT3 complex binding (GO:1904288)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
beta-endorphin receptor activity (GO:0004979)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
corticotropin receptor activity (GO:0004978)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
melanocortin receptor activity (GO:0004977)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
histone deacetylase activity (H3-K9 specific) (GO:0032129)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
leukotriene receptor activity (GO:0004974)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
NMDA glutamate receptor activity (GO:0004972)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
AMPA glutamate receptor activity (GO:0004971)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
5S rRNA binding (GO:0008097)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
ionotropic glutamate receptor activity (GO:0004970)	20	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA-dependent ATPase activity (GO:0008094)	114	0	.18	-	 < 0.01	1.00E00	1.00E00
SUMO-specific protease activity (GO:0016929)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
phospholipase D activator activity (GO:1990583)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pyroglutamyl-peptidase activity (GO:0016920)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
calcitriol binding (GO:1902098)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histamine receptor activity (GO:0004969)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
gonadotropin-releasing hormone receptor activity (GO:0004968)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
glucagon receptor activity (GO:0004967)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
galanin receptor activity (GO:0004966)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
G protein-coupled GABA receptor activity (GO:0004965)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
luteinizing hormone receptor activity (GO:0004964)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
follicle-stimulating hormone receptor activity (GO:0004963)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
double-stranded methylated DNA binding (GO:0010385)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
endothelin receptor activity (GO:0004962)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
thromboxane A2 receptor activity (GO:0004961)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
thromboxane receptor activity (GO:0004960)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
growth factor activity (GO:0008083)	164	0	.26	-	 < 0.01	1.00E00	1.00E00
retinal binding (GO:0016918)	16	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphoric diester hydrolase activity (GO:0008081)	94	0	.15	-	 < 0.01	1.00E00	1.00E00
GABA receptor activity (GO:0016917)	22	0	.03	-	 < 0.01	1.00E00	1.00E00
N-acetyltransferase activity (GO:0008080)	95	0	.15	-	 < 0.01	1.00E00	1.00E00
follicle-stimulating hormone activity (GO:0016913)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
prostaglandin F receptor activity (GO:0004958)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
prostaglandin E receptor activity (GO:0004957)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
prostaglandin D receptor activity (GO:0004956)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
translation termination factor activity (GO:0008079)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
dopamine neurotransmitter receptor activity (GO:0004952)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
cholecystokinin receptor activity (GO:0004951)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
chemokine receptor activity (GO:0004950)	26	0	.04	-	 < 0.01	1.00E00	1.00E00
ornithine decarboxylase inhibitor activity (GO:0008073)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
SAP kinase activity (GO:0016909)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
G protein-coupled acetylcholine receptor activity (GO:0016907)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the aldehyde or oxo group of donors (GO:0016903)	45	0	.07	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor (GO:0016901)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
NAD binding (GO:0051287)	56	0	.09	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-OH group of donors, disulfide as acceptor (GO:0016900)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
copper transmembrane transporter activity, phosphorylative mechanism (GO:0043682)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cannabinoid receptor activity (GO:0004949)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
calcitonin receptor activity (GO:0004948)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
bradykinin receptor activity (GO:0004947)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
bombesin receptor activity (GO:0004946)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
angiotensin type II receptor activity (GO:0004945)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
extracellularly glutamate-gated chloride channel activity (GO:0008068)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
beta2-adrenergic receptor activity (GO:0004941)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
beta1-adrenergic receptor activity (GO:0004940)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glutamate receptor activity (GO:0008066)	28	0	.04	-	 < 0.01	1.00E00	1.00E00
chitin binding (GO:0008061)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
beta-adrenergic receptor activity (GO:0004939)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha2-adrenergic receptor activity (GO:0004938)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha1-adrenergic receptor activity (GO:0004937)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-adrenergic receptor activity (GO:0004936)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
adrenergic receptor activity (GO:0004935)	19	0	.03	-	 < 0.01	1.00E00	1.00E00
ribonuclease T2 activity (GO:0033897)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
extracellularly ATP-gated cation channel activity (GO:0004931)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
CP2 mannose-ethanolamine phosphotransferase activity (GO:0051267)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
diolein transacylation activity (GO:0051265)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mono-olein transacylation activity (GO:0051264)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lithium:proton antiporter activity (GO:0010348)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
prolactin receptor activity (GO:0004925)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oncostatin-M receptor activity (GO:0004924)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
leukemia inhibitory factor receptor activity (GO:0004923)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium sensitive guanylate cyclase activator activity (GO:0008048)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
interleukin-11 receptor activity (GO:0004921)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
10-hydroxy-9-(phosphonooxy)octadecanoate phosphatase activity (GO:0033885)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-10 receptor activity (GO:0004920)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
axon guidance receptor activity (GO:0008046)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
pyridoxal phosphatase activity (GO:0033883)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
carboxyl-O-methyltransferase activity (GO:0010340)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
choloyl-CoA hydrolase activity (GO:0033882)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-9 receptor activity (GO:0004919)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-8 receptor activity (GO:0004918)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-7 receptor activity (GO:0004917)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-6 receptor activity (GO:0004915)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-5 receptor activity (GO:0004914)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
hormone-sensitive lipase activity (GO:0033878)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-4 receptor activity (GO:0004913)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-3 receptor activity (GO:0004912)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-2 receptor activity (GO:0004911)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-1, type II, blocking receptor activity (GO:0004910)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
high-density lipoprotein particle binding (GO:0008035)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
beta-3 adrenergic receptor binding (GO:0031699)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
[heparan sulfate]-glucosamine 3-sulfotransferase 3 activity (GO:0033872)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
beta-2 adrenergic receptor binding (GO:0031698)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
[heparan sulfate]-glucosamine 3-sulfotransferase 2 activity (GO:0033871)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
beta-1 adrenergic receptor binding (GO:0031697)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
alpha-2C adrenergic receptor binding (GO:0031696)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-2B adrenergic receptor binding (GO:0031695)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-2A adrenergic receptor binding (GO:0031694)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
alpha-1B adrenergic receptor binding (GO:0031692)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-1A adrenergic receptor binding (GO:0031691)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
adrenergic receptor binding (GO:0031690)	19	0	.03	-	 < 0.01	1.00E00	1.00E00
interleukin-1, type I, activating receptor activity (GO:0004909)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-1 receptor activity (GO:0004908)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
interferon-gamma receptor activity (GO:0004906)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
type I interferon receptor activity (GO:0004905)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
interferon receptor activity (GO:0004904)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
growth hormone receptor activity (GO:0004903)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Fas-activated serine/threonine kinase activity (GO:0033867)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
monocarboxylic acid transmembrane transporter activity (GO:0008028)	58	0	.09	-	 < 0.01	1.00E00	1.00E00
erythropoietin receptor activity (GO:0004900)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
UMP kinase activity (GO:0033862)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
A2A adenosine receptor binding (GO:0031687)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
single-stranded 3'-5' DNA helicase activity (GO:1990518)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
A1 adenosine receptor binding (GO:0031686)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
G protein-coupled photoreceptor activity (GO:0008020)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
adenosine receptor binding (GO:0031685)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
G-protein beta/gamma-subunit complex binding (GO:0031683)	21	0	.03	-	 < 0.01	1.00E00	1.00E00
G-protein gamma-subunit binding (GO:0031682)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
G-protein beta-subunit binding (GO:0031681)	21	0	.03	-	 < 0.01	1.00E00	1.00E00
citrate-L-glutamate ligase activity (GO:0072591)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
N-acetylgalactosamine kinase activity (GO:0033858)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
N-acetyl-L-aspartate-L-glutamate ligase activity (GO:0072590)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
diphosphoinositol-pentakisphosphate kinase activity (GO:0033857)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-5-phosphate binding (GO:0010314)	18	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activator activity (GO:0072587)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) regulator activity (GO:0072586)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acireductone dioxygenase [iron(II)-requiring] activity (GO:0010309)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
17-beta-hydroxysteroid dehydrogenase (NADP+) activity (GO:0072582)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
chemokine activity (GO:0008009)	49	0	.08	-	 < 0.01	1.00E00	1.00E00
N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity (GO:0033842)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoprotein binding (GO:0051219)	84	0	.13	-	 < 0.01	1.00E00	1.00E00
poly-ADP-D-ribose binding (GO:0072572)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
mono-ADP-D-ribose binding (GO:0072571)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ADP-D-ribose binding (GO:0072570)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase activity (GO:0033829)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
procollagen glucosyltransferase activity (GO:0033823)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
17-beta-ketosteroid reductase activity (GO:0072555)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lipoyl(octanoyl) transferase activity (GO:0033819)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
propanoyl-CoA C-acyltransferase activity (GO:0033814)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ATPase regulator activity (GO:0060590)	40	0	.06	-	 < 0.01	1.00E00	1.00E00
L-cysteine desulfhydrase activity (GO:0080146)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tyrosine binding (GO:0072545)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
L-DOPA binding (GO:0072544)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein phosphatase activator activity (GO:0072542)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
peroxynitrite reductase activity (GO:0072541)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
opioid receptor binding (GO:0031628)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
L-tryptophan transmembrane transporter activity (GO:0015196)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
L-threonine transmembrane transporter activity (GO:0015195)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
beta-endorphin binding (GO:0031626)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-serine transmembrane transporter activity (GO:0015194)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
L-proline transmembrane transporter activity (GO:0015193)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
ubiquitin conjugating enzyme binding (GO:0031624)	32	0	.05	-	 < 0.01	1.00E00	1.00E00
L-methionine transmembrane transporter activity (GO:0015191)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-leucine transmembrane transporter activity (GO:0015190)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
fatty acid alpha-hydroxylase activity (GO:0080132)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-lysine transmembrane transporter activity (GO:0015189)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
glycine transmembrane transporter activity (GO:0015187)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
L-glutamine transmembrane transporter activity (GO:0015186)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
gamma-aminobutyric acid transmembrane transporter activity (GO:0015185)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
L-cystine transmembrane transporter activity (GO:0015184)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
L-aspartate transmembrane transporter activity (GO:0015183)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
L-asparagine transmembrane transporter activity (GO:0015182)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
arginine transmembrane transporter activity (GO:0015181)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
L-alanine transmembrane transporter activity (GO:0015180)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
crotonyl-CoA hydratase activity (GO:0120092)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
AMP transmembrane transporter activity (GO:0080122)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
toxin transmembrane transporter activity (GO:0019534)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
