




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	Reactome version 65 Released 2019-03-12
Analyzed List:	GCST007847reported.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
Reactome pathways	Homo sapiens - REFLIST (20996)	GCST007847reported.txt (110)	GCST007847reported.txt (expected)	GCST007847reported.txt (over/under)	GCST007847reported.txt (fold Enrichment)	GCST007847reported.txt (raw P-value)	GCST007847reported.txt (FDR)
Cholesterol biosynthesis (R-HSA-191273)	24	0	.13	-	 < 0.01	1.00E00	1.00E00
RHO GTPases activate PAKs (R-HSA-5627123)	21	0	.11	-	 < 0.01	1.00E00	1.00E00
G2/M DNA damage checkpoint (R-HSA-69473)	78	0	.41	-	 < 0.01	1.00E00	1.00E00
Presynaptic nicotinic acetylcholine receptors (R-HSA-622323)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
Viral Messenger RNA Synthesis (R-HSA-168325)	40	0	.21	-	 < 0.01	1.00E00	1.00E00
Role of ABL in ROBO-SLIT signaling (R-HSA-428890)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Translesion synthesis by POLK (R-HSA-5655862)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
Pausing and recovery of Tat-mediated HIV elongation (R-HSA-167238)	34	0	.18	-	 < 0.01	1.00E00	1.00E00
Factors involved in megakaryocyte development and platelet production (R-HSA-983231)	157	0	.82	-	 < 0.01	1.00E00	1.00E00
Glycogen storage diseases (R-HSA-3229121)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
Synthesis of PIPs in the nucleus (R-HSA-8847453)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Nef Mediated CD4 Down-regulation (R-HSA-167590)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
SUMOylation of DNA methylation proteins (R-HSA-4655427)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
Leading Strand Synthesis (R-HSA-69109)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
TNFs bind their physiological receptors (R-HSA-5669034)	29	0	.15	-	 < 0.01	1.00E00	1.00E00
Nucleosome assembly (R-HSA-774815)	54	0	.28	-	 < 0.01	1.00E00	1.00E00
RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function (R-HSA-8936459)	66	0	.35	-	 < 0.01	1.00E00	1.00E00
RHO GTPases Activate ROCKs (R-HSA-5627117)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
Collagen biosynthesis and modifying enzymes (R-HSA-1650814)	67	0	.35	-	 < 0.01	1.00E00	1.00E00
RMTs methylate histone arginines (R-HSA-3214858)	49	0	.26	-	 < 0.01	1.00E00	1.00E00
Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA (R-HSA-450385)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
Assembly of Viral Components at the Budding Site (R-HSA-168316)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
MTF1 activates gene expression (R-HSA-5660489)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Inflammasomes (R-HSA-622312)	20	0	.10	-	 < 0.01	1.00E00	1.00E00
Inhibition of Host mRNA Processing and RNA Silencing (R-HSA-168315)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Beta oxidation of butanoyl-CoA to acetyl-CoA (R-HSA-77352)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Rev-mediated nuclear export of HIV RNA (R-HSA-165054)	31	0	.16	-	 < 0.01	1.00E00	1.00E00
Beta oxidation of hexanoyl-CoA to butanoyl-CoA (R-HSA-77350)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Macroautophagy (R-HSA-1632852)	68	0	.36	-	 < 0.01	1.00E00	1.00E00
cGMP effects (R-HSA-418457)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
Digestion and absorption (R-HSA-8963743)	25	0	.13	-	 < 0.01	1.00E00	1.00E00
Josephin domain DUBs (R-HSA-5689877)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
Assembly Of The HIV Virion (R-HSA-175474)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
Amino acid synthesis and interconversion (transamination) (R-HSA-70614)	32	0	.17	-	 < 0.01	1.00E00	1.00E00
Synthesis of CL (R-HSA-1483076)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Glycosaminoglycan metabolism (R-HSA-1630316)	123	0	.64	-	 < 0.01	1.00E00	1.00E00
HATs acetylate histones (R-HSA-3214847)	108	0	.57	-	 < 0.01	1.00E00	1.00E00
Beta oxidation of octanoyl-CoA to hexanoyl-CoA (R-HSA-77348)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Fructose biosynthesis (R-HSA-5652227)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal (R-HSA-141444)	92	0	.48	-	 < 0.01	1.00E00	1.00E00
Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA (R-HSA-77346)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Interferon alpha/beta signaling (R-HSA-909733)	67	0	.35	-	 < 0.01	1.00E00	1.00E00
UNC93B1 deficiency - HSE (R-HSA-5602415)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
HDMs demethylate histones (R-HSA-3214842)	27	0	.14	-	 < 0.01	1.00E00	1.00E00
PKMTs methylate histone lysines (R-HSA-3214841)	47	0	.25	-	 < 0.01	1.00E00	1.00E00
Transport of organic anions (R-HSA-879518)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
TLR3 deficiency - HSE (R-HSA-5602410)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective ALG6 causes ALG6-CDG (CDG-1c) (R-HSA-4724289)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
TWIK-related spinal cord K+ channel (TRESK) (R-HSA-1299344)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
GRB2 events in EGFR signaling (R-HSA-179812)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Signalling to p38 via RIT and RIN (R-HSA-187706)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
mRNA decay by 3' to 5' exoribonuclease (R-HSA-429958)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
Sodium-coupled sulphate, di- and tri-carboxylate transporters (R-HSA-433137)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Transferrin endocytosis and recycling (R-HSA-917977)	31	0	.16	-	 < 0.01	1.00E00	1.00E00
Inactivation of APC/C via direct inhibition of the APC/C complex (R-HSA-141430)	20	0	.10	-	 < 0.01	1.00E00	1.00E00
Complex I biogenesis (R-HSA-6799198)	55	0	.29	-	 < 0.01	1.00E00	1.00E00
Synthesis of bile acids and bile salts via 24-hydroxycholesterol (R-HSA-193775)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Metabolism of ingested MeSeO2H into MeSeH (R-HSA-5263617)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NoRC negatively regulates rRNA expression (R-HSA-427413)	75	0	.39	-	 < 0.01	1.00E00	1.00E00
Passive transport by Aquaporins (R-HSA-432047)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
Apoptosis induced DNA fragmentation (R-HSA-140342)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
Deadenylation of mRNA (R-HSA-429947)	25	0	.13	-	 < 0.01	1.00E00	1.00E00
Vasopressin regulates renal water homeostasis via Aquaporins (R-HSA-432040)	43	0	.23	-	 < 0.01	1.00E00	1.00E00
TP53 Regulates Metabolic Genes (R-HSA-5628897)	83	0	.43	-	 < 0.01	1.00E00	1.00E00
Formation of HIV-1 elongation complex containing HIV-1 Tat (R-HSA-167200)	46	0	.24	-	 < 0.01	1.00E00	1.00E00
Glyoxylate metabolism and glycine degradation (R-HSA-389661)	31	0	.16	-	 < 0.01	1.00E00	1.00E00
Sulfide oxidation to sulfate (R-HSA-1614517)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
TRAIL  signaling (R-HSA-75158)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
FasL/ CD95L signaling (R-HSA-75157)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Apoptotic execution phase (R-HSA-75153)	51	0	.27	-	 < 0.01	1.00E00	1.00E00
Prostanoid ligand receptors (R-HSA-391908)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Leukotriene receptors (R-HSA-391906)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Diseases associated with O-glycosylation of proteins (R-HSA-3906995)	69	0	.36	-	 < 0.01	1.00E00	1.00E00
Amplification of signal from the kinetochores (R-HSA-141424)	92	0	.48	-	 < 0.01	1.00E00	1.00E00
Eicosanoid ligand-binding receptors (R-HSA-391903)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
Glutamate binding, activation of AMPA receptors and synaptic plasticity (R-HSA-399721)	27	0	.14	-	 < 0.01	1.00E00	1.00E00
Transport and synthesis of PAPS (R-HSA-174362)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Potassium transport channels (R-HSA-1296067)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways (R-HSA-168643)	54	0	.28	-	 < 0.01	1.00E00	1.00E00
Inwardly rectifying K+ channels (R-HSA-1296065)	31	0	.16	-	 < 0.01	1.00E00	1.00E00
HCN channels (R-HSA-1296061)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Defects in vitamin and cofactor metabolism (R-HSA-3296482)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
G-protein activation (R-HSA-202040)	28	0	.15	-	 < 0.01	1.00E00	1.00E00
Digestion (R-HSA-8935690)	21	0	.11	-	 < 0.01	1.00E00	1.00E00
Cohesin Loading onto Chromatin (R-HSA-2470946)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Transport of glycerol from adipocytes to the liver by Aquaporins (R-HSA-432030)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Uptake and function of anthrax toxins (R-HSA-5210891)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
Aquaporin-mediated transport (R-HSA-445717)	52	0	.27	-	 < 0.01	1.00E00	1.00E00
Trafficking of AMPA receptors (R-HSA-399719)	27	0	.14	-	 < 0.01	1.00E00	1.00E00
HDACs deacetylate histones (R-HSA-3214815)	60	0	.31	-	 < 0.01	1.00E00	1.00E00
TBC/RABGAPs (R-HSA-8854214)	44	0	.23	-	 < 0.01	1.00E00	1.00E00
Defensins (R-HSA-1461973)	46	0	.24	-	 < 0.01	1.00E00	1.00E00
Activation of AMPA receptors (R-HSA-399710)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
NOD1/2 Signaling Pathway (R-HSA-168638)	35	0	.18	-	 < 0.01	1.00E00	1.00E00
Regulation of IFNG signaling (R-HSA-877312)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
G protein gated Potassium channels (R-HSA-1296059)	25	0	.13	-	 < 0.01	1.00E00	1.00E00
TWIK-releated acid-sensitive K+ channel (TASK) (R-HSA-1299316)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Activation of the AP-1 family of transcription factors (R-HSA-450341)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA (R-HSA-77310)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Classical Kir channels (R-HSA-1296053)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Ca2+ activated K+ channels (R-HSA-1296052)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Defective ABCD1 causes adrenoleukodystrophy (ALD) (R-HSA-5684045)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Aflatoxin activation and detoxification (R-HSA-5423646)	20	0	.10	-	 < 0.01	1.00E00	1.00E00
ERBB2 Regulates Cell Motility (R-HSA-6785631)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
Regulation of RUNX1 Expression and Activity (R-HSA-8934593)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
Hyaluronan uptake and degradation (R-HSA-2160916)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
Dimerization of procaspase-8 (R-HSA-69416)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components (R-HSA-141405)	20	0	.10	-	 < 0.01	1.00E00	1.00E00
Synaptic adhesion-like molecules (R-HSA-8849932)	21	0	.11	-	 < 0.01	1.00E00	1.00E00
NOTCH3 Intracellular Domain Regulates Transcription (R-HSA-9013508)	24	0	.13	-	 < 0.01	1.00E00	1.00E00
NOTCH3 Activation and Transmission of Signal to the Nucleus (R-HSA-9013507)	25	0	.13	-	 < 0.01	1.00E00	1.00E00
Beta oxidation of palmitoyl-CoA to myristoyl-CoA (R-HSA-77305)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK) (R-HSA-1299308)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Interferon gamma signaling (R-HSA-877300)	91	0	.48	-	 < 0.01	1.00E00	1.00E00
CDC6 association with the ORC:origin complex (R-HSA-68689)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
Defects in cobalamin (B12) metabolism (R-HSA-3296469)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Gene Silencing by RNA (R-HSA-211000)	102	0	.53	-	 < 0.01	1.00E00	1.00E00
Activation of G protein gated Potassium channels (R-HSA-1296041)	25	0	.13	-	 < 0.01	1.00E00	1.00E00
PI-3K cascade:FGFR3 (R-HSA-5654710)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
Degradation of GABA (R-HSA-916853)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Deadenylation-dependent mRNA decay (R-HSA-429914)	56	0	.29	-	 < 0.01	1.00E00	1.00E00
Respiratory electron transport (R-HSA-611105)	100	0	.52	-	 < 0.01	1.00E00	1.00E00
Histidine catabolism (R-HSA-70921)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Beta defensins (R-HSA-1461957)	37	0	.19	-	 < 0.01	1.00E00	1.00E00
tRNA processing in the nucleus (R-HSA-6784531)	53	0	.28	-	 < 0.01	1.00E00	1.00E00
Erythrocytes take up oxygen and release carbon dioxide (R-HSA-1247673)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Iron uptake and transport (R-HSA-917937)	58	0	.30	-	 < 0.01	1.00E00	1.00E00
Sodium/Calcium exchangers (R-HSA-425561)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1 (R-HSA-450321)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP) (R-HSA-400511)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
Downstream signaling of activated FGFR3 (R-HSA-5654708)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
Retinoid metabolism and transport (R-HSA-975634)	44	0	.23	-	 < 0.01	1.00E00	1.00E00
FRS-mediated FGFR3 signaling (R-HSA-5654706)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
SHC-mediated cascade:FGFR3 (R-HSA-5654704)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
FRS-mediated FGFR2 signaling (R-HSA-5654700)	20	0	.10	-	 < 0.01	1.00E00	1.00E00
Activation of BH3-only proteins (R-HSA-114452)	29	0	.15	-	 < 0.01	1.00E00	1.00E00
Nef Mediated CD8 Down-regulation (R-HSA-182218)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
RHO GTPases Activate NADPH Oxidases (R-HSA-5668599)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
ATP sensitive Potassium channels (R-HSA-1296025)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Formation of the active cofactor, UDP-glucuronate (R-HSA-173599)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
CS/DS degradation (R-HSA-2024101)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Sema4D induced cell migration and growth-cone collapse (R-HSA-416572)	20	0	.10	-	 < 0.01	1.00E00	1.00E00
Post-chaperonin tubulin folding pathway (R-HSA-389977)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
Biosynthesis of DPAn-3-derived maresins (R-HSA-9026290)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Ficolins bind to repetitive carbohydrate structures on the target cell surface (R-HSA-2855086)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Triglyceride biosynthesis (R-HSA-75109)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Activation, myristolyation of BID and translocation to mitochondria (R-HSA-75108)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Fatty acyl-CoA biosynthesis (R-HSA-75105)	37	0	.19	-	 < 0.01	1.00E00	1.00E00
Activation of HOX genes during differentiation (R-HSA-5619507)	91	0	.48	-	 < 0.01	1.00E00	1.00E00
Regulation of KIT signaling (R-HSA-1433559)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
C6 deamination of adenosine (R-HSA-75102)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Creation of C4 and C2 activators (R-HSA-166786)	77	0	.40	-	 < 0.01	1.00E00	1.00E00
Signaling by SCF-KIT (R-HSA-1433557)	40	0	.21	-	 < 0.01	1.00E00	1.00E00
Trafficking of myristoylated proteins to the cilium (R-HSA-5624138)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
activated TAK1 mediates p38 MAPK activation (R-HSA-450302)	23	0	.12	-	 < 0.01	1.00E00	1.00E00
Transcriptional Regulation by TP53 (R-HSA-3700989)	360	0	1.89	-	 < 0.01	2.69E-01	1.00E00
Biosynthesis of DPAn-3-derived protectins and resolvins (R-HSA-9026286)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Signaling by MET (R-HSA-6806834)	77	0	.40	-	 < 0.01	1.00E00	1.00E00
TP53 Regulates Transcription of Cell Cycle Genes (R-HSA-6791312)	49	0	.26	-	 < 0.01	1.00E00	1.00E00
Signaling by Ligand-Responsive EGFR Variants in Cancer (R-HSA-5637815)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
TP53 Regulates Transcription of Death Receptors and Ligands (R-HSA-6803211)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha) (R-HSA-5358565)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Defective MPI causes MPI-CDG (CDG-1b) (R-HSA-4043916)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Signaling by EGFRvIII in Cancer (R-HSA-5637812)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Constitutive Signaling by EGFRvIII (R-HSA-5637810)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Defective PMM2 causes PMM2-CDG (CDG-1a) (R-HSA-4043911)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Formation of tubulin folding intermediates by CCT/TriC (R-HSA-389960)	25	0	.13	-	 < 0.01	1.00E00	1.00E00
DARPP-32 events (R-HSA-180024)	24	0	.13	-	 < 0.01	1.00E00	1.00E00
Growth hormone receptor signaling (R-HSA-982772)	23	0	.12	-	 < 0.01	1.00E00	1.00E00
Interaction between PHLDA1 and AURKA (R-HSA-8854521)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Calcitonin-like ligand receptors (R-HSA-419812)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
p75 NTR receptor-mediated signalling (R-HSA-193704)	98	0	.51	-	 < 0.01	1.00E00	1.00E00
TP53 Regulates Transcription of Caspase Activators and Caspases (R-HSA-6803207)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain (R-HSA-6803205)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
TP53 Regulates Transcription of Genes Involved in Cytochrome C Release (R-HSA-6803204)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
Sema4D mediated inhibition of cell attachment and migration (R-HSA-416550)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Molybdenum cofactor biosynthesis (R-HSA-947581)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding (R-HSA-389958)	32	0	.17	-	 < 0.01	1.00E00	1.00E00
Diseases associated with surfactant metabolism (R-HSA-5687613)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
Prefoldin mediated transfer of substrate  to CCT/TriC (R-HSA-389957)	27	0	.14	-	 < 0.01	1.00E00	1.00E00
Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate (R-HSA-2978092)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mRNA 3'-end processing (R-HSA-72187)	57	0	.30	-	 < 0.01	1.00E00	1.00E00
SMAD2/3 MH2 Domain Mutants in Cancer (R-HSA-3315487)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Activation of NMDA receptor and postsynaptic events (R-HSA-442755)	39	0	.20	-	 < 0.01	1.00E00	1.00E00
AURKA Activation by TPX2 (R-HSA-8854518)	71	0	.37	-	 < 0.01	1.00E00	1.00E00
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC) (R-HSA-975957)	115	0	.60	-	 < 0.01	1.00E00	1.00E00
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC) (R-HSA-975956)	95	0	.50	-	 < 0.01	1.00E00	1.00E00
PD-1 signaling (R-HSA-389948)	26	0	.14	-	 < 0.01	1.00E00	1.00E00
TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation (R-HSA-8869496)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
CDO in myogenesis (R-HSA-375170)	28	0	.15	-	 < 0.01	1.00E00	1.00E00
Defective NEU1 causes sialidosis (R-HSA-4341670)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Regulation of FZD by ubiquitination (R-HSA-4641263)	21	0	.11	-	 < 0.01	1.00E00	1.00E00
Disassembly of the destruction complex and recruitment of AXIN to the membrane (R-HSA-4641262)	31	0	.16	-	 < 0.01	1.00E00	1.00E00
mRNA Splicing (R-HSA-72172)	188	0	.98	-	 < 0.01	1.00E00	1.00E00
Activation of CaMK IV (R-HSA-442745)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
CREB phosphorylation through the activation of Ras (R-HSA-442742)	27	0	.14	-	 < 0.01	1.00E00	1.00E00
Metabolism of steroid hormones (R-HSA-196071)	34	0	.18	-	 < 0.01	1.00E00	1.00E00
Defective RFT1 causes RFT1-CDG (CDG-1n) (R-HSA-4570571)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DDX58/IFIH1-mediated induction of interferon-alpha/beta (R-HSA-168928)	77	0	.40	-	 < 0.01	1.00E00	1.00E00
TICAM1, RIP1-mediated IKK complex recruitment  (R-HSA-168927)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
RUNX2 regulates genes involved in differentiation of myeloid cells (R-HSA-8941333)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
RUNX2 regulates genes involved in cell migration (R-HSA-8941332)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
Interconversion of polyamines (R-HSA-351200)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Intra-Golgi traffic (R-HSA-6811438)	43	0	.23	-	 < 0.01	1.00E00	1.00E00
Ion influx/efflux at host-pathogen interface (R-HSA-6803544)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
NCAM signaling for neurite out-growth (R-HSA-375165)	60	0	.31	-	 < 0.01	1.00E00	1.00E00
COPI-independent Golgi-to-ER retrograde traffic (R-HSA-6811436)	52	0	.27	-	 < 0.01	1.00E00	1.00E00
Fibronectin matrix formation (R-HSA-1566977)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
COPI-dependent Golgi-to-ER retrograde traffic (R-HSA-6811434)	100	0	.52	-	 < 0.01	1.00E00	1.00E00
Interferon Signaling (R-HSA-913531)	193	0	1.01	-	 < 0.01	6.29E-01	1.00E00
mRNA Splicing - Minor Pathway (R-HSA-72165)	52	0	.27	-	 < 0.01	1.00E00	1.00E00
Meiotic recombination (R-HSA-912446)	56	0	.29	-	 < 0.01	1.00E00	1.00E00
Receptor-type tyrosine-protein phosphatases (R-HSA-388844)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
mRNA Splicing - Major Pathway (R-HSA-72163)	180	0	.94	-	 < 0.01	1.00E00	1.00E00
Adenosine P1 receptors (R-HSA-417973)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
MAPK3 (ERK1) activation (R-HSA-110056)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
eNOS activation and regulation (R-HSA-203765)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
RUNX2 regulates bone development (R-HSA-8941326)	30	0	.16	-	 < 0.01	1.00E00	1.00E00
Assembly of the ORC complex at the origin of replication (R-HSA-68616)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS) (R-HSA-5660724)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Toll Like Receptor 2 (TLR2) Cascade (R-HSA-181438)	97	0	.51	-	 < 0.01	1.00E00	1.00E00
RUNX1 regulates expression of components of tight junctions (R-HSA-8935964)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Adrenaline signalling through Alpha-2 adrenergic receptor (R-HSA-392023)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
The proton buffering model (R-HSA-167827)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
The fatty acid cycling model (R-HSA-167826)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
SUMO is proteolytically processed (R-HSA-3065679)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
SUMO is transferred from E1 to E2 (UBE2I, UBC9) (R-HSA-3065678)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
Interleukin-21 signaling (R-HSA-9020958)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
ERKs are inactivated (R-HSA-202670)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
SUMO is conjugated to E1 (UBA2:SAE1) (R-HSA-3065676)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Acetylcholine binding and downstream events (R-HSA-181431)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Interleukin-27 signaling (R-HSA-9020956)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
BMAL1:CLOCK,NPAS2 activates circadian gene expression (R-HSA-1368108)	27	0	.14	-	 < 0.01	1.00E00	1.00E00
Norepinephrine Neurotransmitter Release Cycle (R-HSA-181430)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
IRF3-mediated induction of type I IFN (R-HSA-3270619)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
CREB phosphorylation through the activation of CaMKII (R-HSA-442729)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
snRNP Assembly (R-HSA-191859)	49	0	.26	-	 < 0.01	1.00E00	1.00E00
Defective SLC5A7 causes distal hereditary motor neuronopathy 7A (HMN7A) (R-HSA-5658471)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
p38MAPK events (R-HSA-171007)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
CREB phosphorylation through the activation of Adenylate Cyclase (R-HSA-442720)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
NOSIP mediated eNOS trafficking (R-HSA-203754)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Lysine catabolism (R-HSA-71064)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
