




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-10-08
Analyzed List:	GCST007847reported.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20996)	GCST007847reported.txt (110)	GCST007847reported.txt (expected)	GCST007847reported.txt (over/under)	GCST007847reported.txt (fold Enrichment)	GCST007847reported.txt (raw P-value)	GCST007847reported.txt (FDR)
protein phosphatase type 2A complex (GO:0000159)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
cytoplasmic ubiquitin ligase complex (GO:0000153)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
nuclear ubiquitin ligase complex (GO:0000152)	44	0	.23	-	 < 0.01	1.00E00	1.00E00
Weibel-Palade body (GO:0033093)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
phagolysosome membrane (GO:0061474)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial alpha-ketoglutarate dehydrogenase complex (GO:0005947)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
6-phosphofructokinase complex (GO:0005945)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class IB (GO:0005944)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
acrosomal matrix (GO:0043159)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class IA (GO:0005943)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex (GO:0005942)	29	0	.15	-	 < 0.01	1.00E00	1.00E00
septin ring (GO:0005940)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
elongin complex (GO:0070449)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
anchored component of the cytoplasmic side of the plasma membrane (GO:0098753)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
interleukin-1 receptor complex (GO:0045323)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
integrin alphaIIb-beta3 complex (GO:0070442)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
exocyst (GO:0000145)	20	0	.10	-	 < 0.01	1.00E00	1.00E00
AP-5 adaptor complex (GO:0044599)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondria-associated endoplasmic reticulum membrane (GO:0044233)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
organelle membrane contact site (GO:0044232)	27	0	.14	-	 < 0.01	1.00E00	1.00E00
host cell presynaptic membrane (GO:0044231)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ciliary rootlet (GO:0035253)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
Dcp1-Dcp2 complex (GO:0098745)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitotic spindle microtubule (GO:1990498)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Grb2-EGFR complex (GO:0070436)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Shc-EGFR complex (GO:0070435)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Golgi trans cisterna (GO:0000138)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Golgi cis cisterna (GO:0000137)	29	0	.15	-	 < 0.01	1.00E00	1.00E00
Gtr1-Gtr2 GTPase complex (GO:1990131)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
GATOR1 complex (GO:1990130)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
host cell surface (GO:0044228)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
juxtaparanode region of axon (GO:0044224)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class I (GO:0097651)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
muscle tendon junction (GO:0005927)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
host cell synapse (GO:0044221)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
host cell perinuclear region of cytoplasm (GO:0044220)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
bicellular tight junction (GO:0005923)	124	0	.65	-	 < 0.01	1.00E00	1.00E00
connexin complex (GO:0005922)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
gap junction (GO:0005921)	33	0	.17	-	 < 0.01	1.00E00	1.00E00
messenger ribonucleoprotein complex (GO:1990124)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIIC complex (GO:0000127)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
A axonemal microtubule (GO:0097649)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIIB complex (GO:0000126)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA ligase III-XRCC1 complex (GO:0070421)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor complex (GO:0097648)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
PCAF complex (GO:0000125)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
other organism cell membrane (GO:0044218)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
SAGA complex (GO:0000124)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
Rad51C-XRCC3 complex (GO:0033065)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
other organism part (GO:0044217)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
other organism cell (GO:0044216)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Rad51B-Rad51C-Rad51D-XRCC2 complex (GO:0033063)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
spanning component of plasma membrane (GO:0044214)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I transcription factor complex (GO:0000120)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA recombinase mediator complex (GO:0033061)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
fascia adherens (GO:0005916)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
zonula adherens (GO:0005915)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
spot adherens junction (GO:0005914)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell-cell adherens junction (GO:0005913)	118	0	.62	-	 < 0.01	1.00E00	1.00E00
nonhomologous end joining complex (GO:0070419)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
DNA-dependent protein kinase complex (GO:0070418)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
MOZ/MORF histone acetyltransferase complex (GO:0070776)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
RQC complex (GO:1990112)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
H3 histone acetyltransferase complex (GO:0070775)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
spermatoproteasome complex (GO:1990111)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
PAS complex (GO:0070772)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
integral component of autophagosome membrane (GO:0097637)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
intrinsic component of autophagosome membrane (GO:0097636)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
translation initiation ternary complex (GO:0044207)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
extrinsic component of autophagosome membrane (GO:0097635)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair factor 3 complex (GO:0000112)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair factor 2 complex (GO:0000111)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair factor 1 complex (GO:0000110)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
extrinsic component of phagophore assembly site membrane (GO:0097632)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
F-actin capping protein complex (GO:0008290)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
integral component of omegasome membrane (GO:0097631)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
intrinsic component of omegasome membrane (GO:0097630)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
clathrin-coated pit (GO:0005905)	68	0	.36	-	 < 0.01	1.00E00	1.00E00
brush border (GO:0005903)	106	0	.56	-	 < 0.01	1.00E00	1.00E00
microvillus (GO:0005902)	86	0	.45	-	 < 0.01	1.00E00	1.00E00
caveola (GO:0005901)	81	0	.42	-	 < 0.01	1.00E00	1.00E00
oncostatin-M receptor complex (GO:0005900)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
photoreceptor inner segment membrane (GO:0060342)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
specific granule lumen (GO:0035580)	62	0	.32	-	 < 0.01	1.00E00	1.00E00
NuA3b histone acetyltransferase complex (GO:1990468)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NuA3a histone acetyltransferase complex (GO:1990467)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
host cell nucleus (GO:0042025)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair complex (GO:0000109)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
gamma-secretase complex (GO:0070765)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
interleukin-12 receptor complex (GO:0042022)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
extrinsic component of omegasome membrane (GO:0097629)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
KICSTOR complex (GO:0140007)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
protein serine/threonine phosphatase complex (GO:0008287)	45	0	.24	-	 < 0.01	1.00E00	1.00E00
omegasome (GO:1990462)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
paraspeckles (GO:0042382)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
nuclear pore transmembrane ring (GO:0070762)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pre-snoRNP complex (GO:0070761)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
inward rectifying potassium channel (GO:0008282)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatase complex (GO:1903293)	45	0	.24	-	 < 0.01	1.00E00	1.00E00
specific granule membrane (GO:0035579)	91	0	.48	-	 < 0.01	1.00E00	1.00E00
azurophil granule lumen (GO:0035578)	90	0	.47	-	 < 0.01	1.00E00	1.00E00
azurophil granule membrane (GO:0035577)	58	0	.30	-	 < 0.01	1.00E00	1.00E00
integral component of lysosomal membrane (GO:1905103)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
endopeptidase Clp complex (GO:0009368)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA polymerase III complex (GO:0009360)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L-type voltage-gated calcium channel complex (GO:1990454)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
cohesin complex (GO:0008278)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
Parkin-FBXW7-Cul1 ubiquitin ligase complex (GO:1990452)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
gamma-tubulin small complex (GO:0008275)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
gamma-tubulin ring complex (GO:0008274)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
NSL complex (GO:0044545)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
chromatoid body (GO:0033391)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
radial spoke stalk (GO:0001536)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
radial spoke (GO:0001534)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
mitochondrial oxoglutarate dehydrogenase complex (GO:0009353)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cornified envelope (GO:0001533)	45	0	.24	-	 < 0.01	1.00E00	1.00E00
spanning component of membrane (GO:0089717)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
phagocytic cup (GO:0001891)	27	0	.14	-	 < 0.01	1.00E00	1.00E00
interleukin-23 complex (GO:0070743)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
THO complex part of transcription export complex (GO:0000445)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
MIS12/MIND type complex (GO:0000444)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
proteasome core complex, beta-subunit complex (GO:0019774)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
proteasome core complex, alpha-subunit complex (GO:0019773)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
ribonuclease H2 complex (GO:0032299)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
supraspliceosomal complex (GO:0044530)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
microfibril (GO:0001527)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
FANCM-MHF complex (GO:0071821)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
chromaffin granule lumen (GO:0034466)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
BBSome (GO:0034464)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
outer dense fiber (GO:0001520)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
upper tip-link density (GO:1990435)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIH core complex (GO:0000439)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
sarcoplasmic reticulum lumen (GO:0033018)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
core TFIIH complex portion of holo TFIIH complex (GO:0000438)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
sarcoplasmic reticulum membrane (GO:0033017)	40	0	.21	-	 < 0.01	1.00E00	1.00E00
nuclear condensin complex (GO:0000799)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear cohesin complex (GO:0000798)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
condensin core heterodimer (GO:0000797)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
U2AF (GO:0089701)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
condensin complex (GO:0000796)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
synaptonemal complex (GO:0000795)	40	0	.21	-	 < 0.01	1.00E00	1.00E00
condensed nuclear chromosome (GO:0000794)	101	0	.53	-	 < 0.01	1.00E00	1.00E00
perinuclear theca (GO:0033011)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
condensed chromosome (GO:0000793)	226	0	1.18	-	 < 0.01	6.35E-01	1.00E00
oligosaccharyltransferase complex (GO:0008250)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
paranodal junction (GO:0033010)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
euchromatin (GO:0000791)	38	0	.20	-	 < 0.01	1.00E00	1.00E00
DUBm complex (GO:0071819)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
BAT3 complex (GO:0071818)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
MMXD complex (GO:0071817)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
AMPA glutamate receptor complex (GO:0032281)	27	0	.14	-	 < 0.01	1.00E00	1.00E00
voltage-gated sodium channel complex (GO:0001518)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
symmetric synapse (GO:0032280)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
Mpp10 complex (GO:0034457)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
UTP-C complex (GO:0034456)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
peroxisomal importomer complex (GO:1990429)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
t-UTP complex (GO:0034455)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate dehydrogenase complex (GO:0009331)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
stereocilia tip-link density (GO:1990427)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex (GO:0009330)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ryanodine receptor complex (GO:1990425)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
centriolar satellite (GO:0034451)	97	0	.51	-	 < 0.01	1.00E00	1.00E00
RZZ complex (GO:1990423)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA-directed RNA polymerase complex (GO:0000428)	119	0	.62	-	 < 0.01	1.00E00	1.00E00
BMP receptor complex (GO:0070724)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoplasmic chromatin (GO:0000789)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
subtelomeric heterochromatin (GO:1990421)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear nucleosome (GO:0000788)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Tle3-Aes complex (GO:0070722)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleosome (GO:0000786)	75	0	.39	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of dendritic spine plasma membrane (GO:1990780)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cone photoreceptor outer segment (GO:0120199)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear chromosome, telomeric region (GO:0000784)	113	0	.59	-	 < 0.01	1.00E00	1.00E00
autophagosome membrane (GO:0000421)	38	0	.20	-	 < 0.01	1.00E00	1.00E00
nuclear telomere cap complex (GO:0000783)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
telomere cap complex (GO:0000782)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
chromosome, telomeric region (GO:0000781)	148	0	.78	-	 < 0.01	1.00E00	1.00E00
chaperone-mediated autophagy translocation complex (GO:0061742)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
condensed nuclear chromosome, centromeric region (GO:0000780)	27	0	.14	-	 < 0.01	1.00E00	1.00E00
phenylalanine-tRNA ligase complex (GO:0009328)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
EGO complex (GO:0034448)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Pex17p-Pex14p docking complex (GO:1990415)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
lipoprotein particle (GO:1990777)	38	0	.20	-	 < 0.01	1.00E00	1.00E00
HIR complex (GO:0000417)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
condensed chromosome, centromeric region (GO:0000779)	119	0	.62	-	 < 0.01	1.00E00	1.00E00
condensed nuclear chromosome kinetochore (GO:0000778)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
condensed chromosome kinetochore (GO:0000777)	106	0	.56	-	 < 0.01	1.00E00	1.00E00
kinetochore (GO:0000776)	137	0	.72	-	 < 0.01	1.00E00	1.00E00
chromosome, centromeric region (GO:0000775)	196	0	1.03	-	 < 0.01	6.30E-01	1.00E00
tumor necrosis factor receptor superfamily complex (GO:0002947)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
NF-kappaB p50/p65 complex (GO:0035525)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin K-CDK13 complex (GO:0002945)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin K-CDK12 complex (GO:0002944)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA carboxylase complex (GO:0009317)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Cajal body (GO:0015030)	55	0	.29	-	 < 0.01	1.00E00	1.00E00
proximal neuron projection (GO:1990769)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
CGRP receptor complex (GO:1990406)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
EKC/KEOPS complex (GO:0000408)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
phagophore assembly site (GO:0000407)	32	0	.17	-	 < 0.01	1.00E00	1.00E00
outer mucus layer (GO:0070703)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inner mucus layer (GO:0070702)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
growth cone lamellipodium (GO:1990761)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
mucus layer (GO:0070701)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
plasma membrane raft (GO:0044853)	110	0	.58	-	 < 0.01	1.00E00	1.00E00
PR-DUB complex (GO:0035517)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
vacuolar proton-transporting V-type ATPase complex (GO:0016471)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
integral component of vacuolar membrane (GO:0031166)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
autophagosome lumen (GO:0034423)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
proton-transporting two-sector ATPase complex (GO:0016469)	53	0	.28	-	 < 0.01	1.00E00	1.00E00
ciliary transition zone (GO:0035869)	72	0	.38	-	 < 0.01	1.00E00	1.00E00
unconventional myosin complex (GO:0016461)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
alphav-beta3 integrin-HMGB1 complex (GO:0035868)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
myosin II complex (GO:0016460)	21	0	.11	-	 < 0.01	1.00E00	1.00E00
alphav-beta3 integrin-IGF-1-IGF1R complex (GO:0035867)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
alphav-beta3 integrin-PKCalpha complex (GO:0035866)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
lipid tube (GO:0060987)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
host cellular component (GO:0018995)	76	0	.40	-	 < 0.01	1.00E00	1.00E00
site of double-strand break (GO:0035861)	61	0	.32	-	 < 0.01	1.00E00	1.00E00
recycling endosome lumen (GO:0034777)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
EARP complex (GO:1990745)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
microvesicle (GO:1990742)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
myosin complex (GO:0016459)	57	0	.30	-	 < 0.01	1.00E00	1.00E00
inflammasome complex (GO:0061702)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
mitochondrial tricarboxylic acid cycle enzyme complex (GO:0030062)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
mitochondrial crista (GO:0030061)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
GATOR2 complex (GO:0061700)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
Seh1-associated complex (GO:0035859)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
insulin-responsive compartment (GO:0032593)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
dendritic spine membrane (GO:0032591)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
dendrite membrane (GO:0032590)	43	0	.23	-	 < 0.01	1.00E00	1.00E00
pseudopodium (GO:0031143)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
thylakoid membrane (GO:0042651)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
VCP-NSFL1C complex (GO:1990730)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
desmosome (GO:0030057)	26	0	.14	-	 < 0.01	1.00E00	1.00E00
hemidesmosome (GO:0030056)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
tRNA-specific adenosine-34 deaminase complex (GO:0052718)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
RISC complex (GO:0016442)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
cerebellar Golgi cell to granule cell synapse (GO:0099192)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
trans-Golgi network membrane (GO:0032588)	93	0	.49	-	 < 0.01	1.00E00	1.00E00
multivesicular body membrane (GO:0032585)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
growth cone membrane (GO:0032584)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
new growing cell tip (GO:0035841)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
TRAMP complex (GO:0031499)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Lsm1-7-Pat1 complex (GO:1990726)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
cytosolic aryl hydrocarbon receptor complex (GO:0034752)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
aryl hydrocarbon receptor complex (GO:0034751)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Scrib-APC-beta-catenin complex (GO:0034750)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic periphery of the nuclear pore complex (GO:1990723)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cellularization cleavage furrow (GO:0110070)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
actomyosin, actin portion (GO:0042643)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
actomyosin (GO:0042641)	83	0	.43	-	 < 0.01	1.00E00	1.00E00
postsynaptic spectrin-associated cytoskeleton (GO:0099189)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
proteasome regulatory particle, lid subcomplex (GO:0008541)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
DNA packaging complex (GO:0044815)	83	0	.43	-	 < 0.01	1.00E00	1.00E00
proteasome regulatory particle, base subcomplex (GO:0008540)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
distal portion of axoneme (GO:0120135)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
proximal portion of axoneme (GO:0120134)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
presynaptic intermediate filament cytoskeleton (GO:0099182)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
growing cell tip (GO:0035838)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
mitotic spindle astral microtubule end (GO:1905721)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoplasmic microtubule bundle (GO:1905720)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
axonemal central pair projection (GO:1990718)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
axonemal central apparatus (GO:1990716)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
proteasome activator complex (GO:0008537)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
HFE-transferrin receptor complex (GO:1990712)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Ski complex (GO:0055087)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
host cell cytoplasm part (GO:0033655)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
host cell mitochondrion (GO:0033650)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
myosin VII complex (GO:0031477)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear subtelomeric heterochromatin (GO:1990707)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
myosin V complex (GO:0031475)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chylomicron (GO:0042627)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
photoreceptor outer segment membrane (GO:0042622)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
integral component of endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane (GO:1990701)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
host intracellular membrane-bounded organelle (GO:0033648)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
lamellipodium (GO:0030027)	196	0	1.03	-	 < 0.01	6.30E-01	1.00E00
host intracellular organelle (GO:0033647)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
host intracellular part (GO:0033646)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
host cell membrane (GO:0033644)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
host cell part (GO:0033643)	21	0	.11	-	 < 0.01	1.00E00	1.00E00
Lsm2-8 complex (GO:0120115)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
Sm-like protein family complex (GO:0120114)	78	0	.41	-	 < 0.01	1.00E00	1.00E00
postsynaptic intermediate filament cytoskeleton (GO:0099160)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
methionine adenosyltransferase complex (GO:0048269)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
septin complex (GO:0031105)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
